E,Tau,Trate,nok,TrainRsq,TestRsq,TrainRmse,TestRmse
10,4,0.8,5,0.567560,0.379873,0.036828,0.027452
10,4,0.8,6,0.648818,0.410231,0.033188,0.026771
10,4,0.8,7,0.544656,0.251004,0.037791,0.030170
10,4,0.8,8,0.626545,0.296187,0.034224,0.029245
10,4,0.8,9,0.688179,0.368932,0.031273,0.027693
10,4,0.8,10,0.659386,0.311971,0.032685,0.028916
10,4,0.8,11,0.548836,0.276845,0.037617,0.029645
10,4,0.8,12,0.586464,0.113408,0.036014,0.032824
10,4,0.8,13,0.682318,0.263063,0.031566,0.029926
10,4,0.8,14,0.715172,0.353270,0.029889,0.028034
10,4,0.8,15,0.624360,0.301509,0.034324,0.029135
