0.05,0.14,0.06,0.05,0.06,0.07,0.06,10.70,0.30,0.46,0.29,0.13,0.08,
0.05,0.07,0.10,0.04,0.06,0.05,18.06,8.68,1.49,0.73,0.27,0.19,0.08,
0.06,0.08,0.07,0.06,0.06,20.85,37.28,8.27,5.96,1.91,0.34,0.13,0.11,
0.07,0.08,0.09,0.09,0.50,169.58,48.26,27.74,25.74,1.36,0.30,0.07,0.00,
0.07,0.13,0.13,0.28,193.12,162.47,42.40,51.47,21.27,1.00,0.19,0.09,0.00,
0.12,0.26,0.20,132.25,413.75,75.18,412.42,132.26,0.43,0.37,0.44,0.06,0.00,
0.25,0.23,31.43,508.26,157.98,399.89,721.49,209.54,0.30,6.98,8.86,2.70,0.08,
0.22,29.92,283.04,955.35,754.98,800.18,394.81,2.45,8.65,27.24,12.29,3.88,2.60,
0.29,113.65,813.09,916.36,1253.28,468.51,8.18,12.64,19.50,8.23,5.76,2.45,2.27,
0.63,544.64,803.68,989.01,548.57,7.27,11.51,12.41,7.88,19.35,15.43,6.60,6.66,
1.98,622.59,683.96,752.43,113.38,0.41,6.49,0.63,1.13,1.12,0.72,0.45,0.31,
34.66,479.47,656.26,536.75,65.73,0.65,25.08,6.38,0.51,0.14,0.14,0.44,0.34,
208.75,308.83,167.45,102.84,6.76,38.97,83.65,17.82,1.30,0.10,0.13,0.16,0.06,
171.82,161.49,7.70,14.72,0.10,2.27,6.68,3.35,4.42,1.63,0.27,0.11,0.13,
