E,Tau,Smoothness
2,1,-18.151286
2,2,-17.080962
2,3,-16.351154
2,4,-15.787512
2,5,-16.625299
2,6,-16.012986
2,7,-16.220270
2,8,-16.331342
2,9,-18.853882
2,10,-19.591588
2,11,-19.781152
2,12,-19.319372
2,13,-19.587777
2,14,-18.838331
2,15,-20.317911
2,16,-18.765843
2,17,-16.281222
2,18,-16.678083
2,19,-15.563808
2,20,-14.975424
2,21,-14.494250
2,22,-15.142679
2,23,-15.788824
2,24,-21.304448
3,1,-5.030944
3,2,-4.352879
3,3,-3.876817
3,4,-3.189643
3,5,-3.173607
3,6,-3.214515
3,7,-3.615233
3,8,-3.591651
3,9,-3.890684
3,10,-3.325699
3,11,-3.215337
3,12,-4.722467
3,13,-3.433687
3,14,-3.392911
3,15,-4.099347
3,16,-3.871289
3,17,-3.481936
3,18,-3.547276
3,19,-3.099022
3,20,-3.021085
3,21,-3.189349
3,22,-3.339273
3,23,-3.418916
3,24,-5.696612
4,1,-1.960264
4,2,-1.452178
4,3,-1.105668
4,4,-0.860520
4,5,-1.035174
4,6,-1.094581
4,7,-0.986274
4,8,-1.171897
4,9,-1.031681
4,10,-0.805224
4,11,-0.775032
4,12,-1.784298
4,13,-1.003856
4,14,-0.952073
4,15,-1.060523
4,16,-1.199579
4,17,-0.859239
4,18,-1.028163
4,19,-0.857696
4,20,-0.838855
4,21,-0.987898
4,22,-0.981437
4,23,-0.928390
4,24,-1.999955
5,1,-0.874720
5,2,-0.451460
5,3,-0.223370
5,4,-0.173226
5,5,-0.209195
5,6,-0.311051
5,7,-0.235537
5,8,-0.370942
5,9,-0.180938
5,10,-0.163289
5,11,-0.100220
5,12,-0.662226
5,13,-0.266623
5,14,-0.221931
5,15,-0.187722
5,16,-0.374339
5,17,-0.130121
5,18,-0.224091
5,19,-0.177195
5,20,-0.122844
5,21,-0.121966
5,22,-0.210971
5,23,-0.190661
5,24,-0.621835
6,1,-0.300430
6,2,0.028955
6,3,0.078873
6,4,0.139427
6,5,0.147374
6,6,0.011660
6,7,0.127329
6,8,-0.003072
6,9,0.199297
6,10,0.177535
6,11,0.173862
6,12,-0.207945
6,13,0.087959
6,14,0.142169
6,15,0.174444
6,16,0.012907
6,17,0.191679
6,18,0.119937
6,19,0.170736
6,20,0.197321
6,21,0.209794
6,22,0.158939
6,23,0.159692
6,24,-0.112056
7,1,-0.011064
7,2,0.243572
7,3,0.264056
7,4,0.322835
7,5,0.320771
7,6,0.216095
7,7,0.298917
7,8,0.210330
7,9,0.348636
7,10,0.340256
7,11,0.345424
7,12,0.082080
7,13,0.284420
7,14,0.317771
7,15,0.340453
7,16,0.254920
7,17,0.362172
7,18,0.293157
7,19,0.338731
7,20,0.391883
7,21,0.372871
7,22,0.356599
7,23,0.336839
7,24,0.139039
8,1,0.185696
8,2,0.370306
8,3,0.418175
